Country Name,Country Code,Indicator Name GDP,Year,GDP,Indicator Name LifeExp,Life Expectancy
China,CHN,GDP (current US$),1987,272972974764.574,"Life expectancy at birth, total (years)",67.288
United Kingdom,GBR,GDP (current US$),1987,745162608269.325,"Life expectancy at birth, total (years)",75.280487804878
Mexico,MEX,GDP (current US$),1987,147542558208.888,"Life expectancy at birth, total (years)",68.844
Peru,PER,GDP (current US$),1987,36533467759.4118,"Life expectancy at birth, total (years)",62.804
United States,USA,GDP (current US$),1987,4855215000000.0,"Life expectancy at birth, total (years)",74.7658536585366
Chile,CHL,GDP (current US$),1988,26042571615.5987,"Life expectancy at birth, total (years)",72.456
China,CHN,GDP (current US$),1988,312353631207.819,"Life expectancy at birth, total (years)",67.581
United Kingdom,GBR,GDP (current US$),1988,910122732123.799,"Life expectancy at birth, total (years)",75.3804878048781
Mexico,MEX,GDP (current US$),1988,181611150496.787,"Life expectancy at birth, total (years)",69.253
Peru,PER,GDP (current US$),1988,15439408447.2,"Life expectancy at birth, total (years)",63.601
United States,USA,GDP (current US$),1988,5236438000000.0,"Life expectancy at birth, total (years)",74.7658536585366
Chile,CHL,GDP (current US$),1989,29936735491.4427,"Life expectancy at birth, total (years)",72.467
China,CHN,GDP (current US$),1989,347768051311.741,"Life expectancy at birth, total (years)",67.838
United Kingdom,GBR,GDP (current US$),1989,926884816753.927,"Life expectancy at birth, total (years)",75.5829268292683
Mexico,MEX,GDP (current US$),1989,221403098266.77,"Life expectancy at birth, total (years)",69.623
Peru,PER,GDP (current US$),1989,22499558526.3682,"Life expectancy at birth, total (years)",64.352
United States,USA,GDP (current US$),1989,5641580000000.0,"Life expectancy at birth, total (years)",75.0170731707317
Chile,CHL,GDP (current US$),1990,33137824762.0173,"Life expectancy at birth, total (years)",72.574
China,CHN,GDP (current US$),1990,360857912565.966,"Life expectancy at birth, total (years)",68.005
United Kingdom,GBR,GDP (current US$),1990,1093169389204.55,"Life expectancy at birth, total (years)",75.8804878048781
Mexico,MEX,GDP (current US$),1990,261253675692.838,"Life expectancy at birth, total (years)",69.971
Peru,PER,GDP (current US$),1990,26410386962.8019,"Life expectancy at birth, total (years)",65.106
United States,USA,GDP (current US$),1990,5963144000000.0,"Life expectancy at birth, total (years)",75.2146341463415
Chile,CHL,GDP (current US$),1991,37846188228.2702,"Life expectancy at birth, total (years)",73.574
China,CHN,GDP (current US$),1991,383373318083.624,"Life expectancy at birth, total (years)",68.169
United Kingdom,GBR,GDP (current US$),1991,1142797178130.51,"Life expectancy at birth, total (years)",76.0829268292683
Mexico,MEX,GDP (current US$),1991,313139656145.745,"Life expectancy at birth, total (years)",70.298
Peru,PER,GDP (current US$),1991,34341465998.2003,"Life expectancy at birth, total (years)",65.434
United States,USA,GDP (current US$),1991,6158129000000.0,"Life expectancy at birth, total (years)",75.3658536585366
Chile,CHL,GDP (current US$),1992,45949608551.8086,"Life expectancy at birth, total (years)",74.135
China,CHN,GDP (current US$),1992,426915712715.856,"Life expectancy at birth, total (years)",68.734
United Kingdom,GBR,GDP (current US$),1992,1179659529659.53,"Life expectancy at birth, total (years)",76.4341463414634
Mexico,MEX,GDP (current US$),1992,363157832923.734,"Life expectancy at birth, total (years)",70.616
Peru,PER,GDP (current US$),1992,35966302303.263,"Life expectancy at birth, total (years)",66.149
United States,USA,GDP (current US$),1992,6520327000000.0,"Life expectancy at birth, total (years)",75.6170731707317
Chile,CHL,GDP (current US$),1993,49287378599.1612,"Life expectancy at birth, total (years)",74.195
China,CHN,GDP (current US$),1993,444731282435.515,"Life expectancy at birth, total (years)",69.216
United Kingdom,GBR,GDP (current US$),1993,1061388722255.55,"Life expectancy at birth, total (years)",76.3853658536585
Mexico,MEX,GDP (current US$),1993,530160763983.506,"Life expectancy at birth, total (years)",70.942
Peru,PER,GDP (current US$),1993,34832077220.8537,"Life expectancy at birth, total (years)",66.681
United States,USA,GDP (current US$),1993,6858559000000.0,"Life expectancy at birth, total (years)",75.419512195122
Chile,CHL,GDP (current US$),1994,56998601183.5492,"Life expectancy at birth, total (years)",74.614
China,CHN,GDP (current US$),1994,564321854521.013,"Life expectancy at birth, total (years)",69.52
United Kingdom,GBR,GDP (current US$),1994,1140489745944.29,"Life expectancy at birth, total (years)",76.8853658536585
Mexico,MEX,GDP (current US$),1994,553618247900.74,"Life expectancy at birth, total (years)",71.279
Peru,PER,GDP (current US$),1994,44882079766.8913,"Life expectancy at birth, total (years)",67.227
United States,USA,GDP (current US$),1994,7287236000000.0,"Life expectancy at birth, total (years)",75.619512195122
Chile,CHL,GDP (current US$),1995,73444831671.0169,"Life expectancy at birth, total (years)",74.609
China,CHN,GDP (current US$),1995,734484834573.582,"Life expectancy at birth, total (years)",70.008
United Kingdom,GBR,GDP (current US$),1995,1344240176739.78,"Life expectancy at birth, total (years)",76.8365853658537
Mexico,MEX,GDP (current US$),1995,380157469866.849,"Life expectancy at birth, total (years)",71.646
Peru,PER,GDP (current US$),1995,53312793687.3836,"Life expectancy at birth, total (years)",67.644
United States,USA,GDP (current US$),1995,7639749000000.0,"Life expectancy at birth, total (years)",75.6219512195122
Chile,CHL,GDP (current US$),1996,78584098982.9097,"Life expectancy at birth, total (years)",74.899
China,CHN,GDP (current US$),1996,863749314718.538,"Life expectancy at birth, total (years)",70.266
United Kingdom,GBR,GDP (current US$),1996,1419645865834.63,"Life expectancy at birth, total (years)",77.0878048780488
Mexico,MEX,GDP (current US$),1996,432157945024.428,"Life expectancy at birth, total (years)",72.037
Peru,PER,GDP (current US$),1996,55252414130.3019,"Life expectancy at birth, total (years)",68.147
United States,USA,GDP (current US$),1996,8073122000000.0,"Life expectancy at birth, total (years)",76.0268292682927
Chile,CHL,GDP (current US$),1997,85741415285.4035,"Life expectancy at birth, total (years)",75.596
China,CHN,GDP (current US$),1997,961601980984.623,"Life expectancy at birth, total (years)",70.672
United Kingdom,GBR,GDP (current US$),1997,1560911918795.02,"Life expectancy at birth, total (years)",77.2109756097561
Mexico,MEX,GDP (current US$),1997,523449530464.257,"Life expectancy at birth, total (years)",72.445
Peru,PER,GDP (current US$),1997,58147522522.5225,"Life expectancy at birth, total (years)",68.605
United States,USA,GDP (current US$),1997,8577552000000.0,"Life expectancy at birth, total (years)",76.4292682926829
Chile,CHL,GDP (current US$),1998,81990010703.843,"Life expectancy at birth, total (years)",75.669
China,CHN,GDP (current US$),1998,1029060747620.65,"Life expectancy at birth, total (years)",71.172
United Kingdom,GBR,GDP (current US$),1998,1653694932096.72,"Life expectancy at birth, total (years)",77.190243902439
Mexico,MEX,GDP (current US$),1998,557461102630.658,"Life expectancy at birth, total (years)",72.845
Peru,PER,GDP (current US$),1998,55501467877.381,"Life expectancy at birth, total (years)",69.082
United States,USA,GDP (current US$),1998,9062817000000.0,"Life expectancy at birth, total (years)",76.5804878048781
Chile,CHL,GDP (current US$),1999,75578685735.5219,"Life expectancy at birth, total (years)",76.018
China,CHN,GDP (current US$),1999,1094003874937.34,"Life expectancy at birth, total (years)",71.419
United Kingdom,GBR,GDP (current US$),1999,1687830448147.55,"Life expectancy at birth, total (years)",77.390243902439
Mexico,MEX,GDP (current US$),1999,631249359702.389,"Life expectancy at birth, total (years)",73.225
Peru,PER,GDP (current US$),1999,50187324567.883,"Life expectancy at birth, total (years)",69.743
United States,USA,GDP (current US$),1999,9631172000000.0,"Life expectancy at birth, total (years)",76.5829268292683
Chile,CHL,GDP (current US$),2000,78339750721.7352,"Life expectancy at birth, total (years)",76.87
China,CHN,GDP (current US$),2000,1211331651866.09,"Life expectancy at birth, total (years)",71.881
United Kingdom,GBR,GDP (current US$),2000,1665534876683.31,"Life expectancy at birth, total (years)",77.7414634146342
Mexico,MEX,GDP (current US$),2000,742061329643.37,"Life expectancy at birth, total (years)",73.569
Peru,PER,GDP (current US$),2000,51744749133.213,"Life expectancy at birth, total (years)",70.424
United States,USA,GDP (current US$),2000,10250952000000.0,"Life expectancy at birth, total (years)",76.6365853658537
Chile,CHL,GDP (current US$),2001,71574739561.4329,"Life expectancy at birth, total (years)",76.773
China,CHN,GDP (current US$),2001,1339400897105.11,"Life expectancy at birth, total (years)",72.606
United Kingdom,GBR,GDP (current US$),2001,1649827263567.01,"Life expectancy at birth, total (years)",77.9926829268293
Mexico,MEX,GDP (current US$),2001,796064590656.176,"Life expectancy at birth, total (years)",73.867
Peru,PER,GDP (current US$),2001,52030158775.4055,"Life expectancy at birth, total (years)",71.041
United States,USA,GDP (current US$),2001,10581929000000.0,"Life expectancy at birth, total (years)",76.8365853658537
Chile,CHL,GDP (current US$),2002,70264045939.1322,"Life expectancy at birth, total (years)",77.445
China,CHN,GDP (current US$),2002,1470557654799.95,"Life expectancy at birth, total (years)",72.985
United Kingdom,GBR,GDP (current US$),2002,1785729916067.15,"Life expectancy at birth, total (years)",78.1439024390244
Mexico,MEX,GDP (current US$),2002,810666116505.478,"Life expectancy at birth, total (years)",74.106
Peru,PER,GDP (current US$),2002,54777553515.0809,"Life expectancy at birth, total (years)",71.661
United States,USA,GDP (current US$),2002,10929108000000.0,"Life expectancy at birth, total (years)",76.9365853658537
Chile,CHL,GDP (current US$),2003,76492579644.0605,"Life expectancy at birth, total (years)",77.387
China,CHN,GDP (current US$),2003,1660280543846.79,"Life expectancy at birth, total (years)",73.371
United Kingdom,GBR,GDP (current US$),2003,2054422857142.86,"Life expectancy at birth, total (years)",78.4463414634146
Mexico,MEX,GDP (current US$),2003,765549967703.273,"Life expectancy at birth, total (years)",74.274
Peru,PER,GDP (current US$),2003,58731030121.8671,"Life expectancy at birth, total (years)",72.217
United States,USA,GDP (current US$),2003,11456450000000.0,"Life expectancy at birth, total (years)",77.0365853658537
Chile,CHL,GDP (current US$),2004,99075985773.176,"Life expectancy at birth, total (years)",77.616
China,CHN,GDP (current US$),2004,1955346768721.39,"Life expectancy at birth, total (years)",73.748
United Kingdom,GBR,GDP (current US$),2004,2421525082387.4,"Life expectancy at birth, total (years)",78.7463414634146
Mexico,MEX,GDP (current US$),2004,819459227375.022,"Life expectancy at birth, total (years)",74.372
Peru,PER,GDP (current US$),2004,66768703497.5687,"Life expectancy at birth, total (years)",72.668
United States,USA,GDP (current US$),2004,12217196000000.0,"Life expectancy at birth, total (years)",77.4878048780488
Chile,CHL,GDP (current US$),2005,122294145162.835,"Life expectancy at birth, total (years)",78.016
China,CHN,GDP (current US$),2005,2285961149879.85,"Life expectancy at birth, total (years)",74.111
United Kingdom,GBR,GDP (current US$),2005,2543180000000.0,"Life expectancy at birth, total (years)",79.0487804878049
Mexico,MEX,GDP (current US$),2005,917571853529.104,"Life expectancy at birth, total (years)",74.376
Peru,PER,GDP (current US$),2005,76060606060.6061,"Life expectancy at birth, total (years)",72.986
United States,USA,GDP (current US$),2005,13039197000000.0,"Life expectancy at birth, total (years)",77.4878048780488
Chile,CHL,GDP (current US$),2006,153843518171.43,"Life expectancy at birth, total (years)",78.261
China,CHN,GDP (current US$),2006,2752118657184.02,"Life expectancy at birth, total (years)",74.504
United Kingdom,GBR,GDP (current US$),2006,2708441582336.71,"Life expectancy at birth, total (years)",79.2487804878049
Mexico,MEX,GDP (current US$),2006,1020265057882.01,"Life expectancy at birth, total (years)",74.331
Peru,PER,GDP (current US$),2006,88643193061.748,"Life expectancy at birth, total (years)",73.172
United States,USA,GDP (current US$),2006,13815583000000.0,"Life expectancy at birth, total (years)",77.6878048780488
Chile,CHL,GDP (current US$),2007,172491076033.863,"Life expectancy at birth, total (years)",77.826
China,CHN,GDP (current US$),2007,3550327802998.4,"Life expectancy at birth, total (years)",74.762
United Kingdom,GBR,GDP (current US$),2007,3090510204081.63,"Life expectancy at birth, total (years)",79.4487804878049
Mexico,MEX,GDP (current US$),2007,1102355554971.95,"Life expectancy at birth, total (years)",74.238
Peru,PER,GDP (current US$),2007,102170981144.136,"Life expectancy at birth, total (years)",73.223
United States,USA,GDP (current US$),2007,14474228000000.0,"Life expectancy at birth, total (years)",77.9878048780488
Chile,CHL,GDP (current US$),2008,179894594475.98,"Life expectancy at birth, total (years)",78.484
China,CHN,GDP (current US$),2008,4594336785737.67,"Life expectancy at birth, total (years)",74.872
United Kingdom,GBR,GDP (current US$),2008,2929411764705.88,"Life expectancy at birth, total (years)",79.6
